event,underlying,trading_symbol,option_type,strike,expiry,days_to_expiry,lots,qty,entry_premium,peak_premium,stop_level,exit_premium,pnl,pnl_pct,entry_time,exit_time,exit_reason,entry_delta,entry_theta,entry_gamma,entry_vega,entry_iv,logged_at
EXIT,DELHIVERY,DELHIVERY-Jul2026-485-CE,CE,485.0,2026-07-28,7,1,2075,10.8,10.8,8.1,10.7,-207.5,-0.9,09:48:37,09:54:55,SYSTEM_EXIT,0.5236,-0.76081,0.0153,0.27616,37.53714609843795,2026-07-21 09:54:55
EXIT,INDIGO,INDIGO-Jul2026-5250-CE,CE,5250.0,2026-07-28,7,1,150,118.65,136.8,88.99,118.65,0.0,0.0,09:48:42,10:36:20,MANUAL_EXIT,0.55466,-7.64545,0.00152,2.97792,34.487923849546405,2026-07-21 10:36:20
EXIT,DMART,DMART-Jul2026-4000-CE,CE,4000.0,2026-07-28,7,1,150,55.4,65.9,41.55,52.25,-472.5,-5.7,09:48:40,10:36:47,MANUAL_EXIT,0.48445,-4.49873,0.00267,2.27096,26.203713256682846,2026-07-21 10:36:47
ENTRY,GVT&D,GVT&D-Jul2026-4500-CE,CE,4500.0,2026-07-28,7,1,125,100.55,100.55,75.41,,,,10:39:15,,,0.48063,-8.02503,0.00143,2.54065,43.66256399586277,2026-07-21 10:39:32
ENTRY,DMART,DMART-Jul2026-4000-CE,CE,4000.0,2026-07-28,7,1,150,49.2,49.2,36.9,,,,10:39:18,,,0.46656,-4.24618,0.00283,2.25619,24.709682152569247,2026-07-21 10:39:34
ENTRY,DALBHARAT,DALBHARAT-Jul2026-1860-CE,CE,1860.0,2026-07-28,7,1,325,37.15,37.15,27.86,,,,10:39:16,,,0.49647,-2.85262,0.0041,1.05463,36.79177538144754,2026-07-21 10:39:36
EXIT,DMART,DMART-Jul2026-4000-CE,CE,4000.0,2026-07-28,7,1,150,49.2,51.55,36.9,50.0,120.0,1.6,10:39:18,10:48:34,MANUAL_EXIT,0.46656,-4.24618,0.00283,2.25619,24.709682152569247,2026-07-21 10:48:34
ENTRY,PETRONET,PETRONET-Jul2026-277.5-CE,CE,277.5,2026-07-28,7,1,1900,3.95,3.95,2.96,,,,10:40:34,,,0.52437,-0.29012,0.04245,0.15757,23.704683563411212,2026-07-21 10:48:37
EXIT,PETRONET,PETRONET-Jul2026-277.5-CE,CE,277.5,2026-07-28,7,1,1900,3.95,3.95,2.96,3.95,0.0,0.0,10:40:34,10:49:15,MANUAL_EXIT,0.52437,-0.29012,0.04245,0.15757,23.704683563411212,2026-07-21 10:49:15
ENTRY,YESBANK,YESBANK-Jul2026-23-CE,CE,23.0,2026-07-28,7,1,31100,0.47,0.47,0.35,,,,10:40:39,,,0.62339,-0.02523,0.45361,0.01257,25.295678424588214,2026-07-21 10:49:21
EXIT,YESBANK,YESBANK-Jul2026-23-CE,CE,23.0,2026-07-28,7,1,31100,0.47,0.47,0.35,0.47,0.0,0.0,10:40:39,10:49:29,MANUAL_EXIT,0.62339,-0.02523,0.45361,0.01257,25.295678424588214,2026-07-21 10:49:29
ENTRY,INDUSINDBK,INDUSINDBK-Jul2026-1060-CE,CE,1060.0,2026-07-28,7,1,700,22.75,22.75,17.06,,,,10:40:40,,,0.48652,-1.79058,0.00646,0.59931,41.0354560952734,2026-07-21 10:49:33
EXIT,INDUSINDBK,INDUSINDBK-Jul2026-1060-CE,CE,1060.0,2026-07-28,7,1,700,22.75,22.75,17.06,22.75,0.0,0.0,10:40:40,10:49:40,MANUAL_EXIT,0.48652,-1.79058,0.00646,0.59931,41.0354560952734,2026-07-21 10:49:40
EXIT,GVT&D,GVT&D-Jul2026-4500-CE,CE,4500.0,2026-07-28,7,1,125,100.55,108.75,75.41,104.5,493.75,3.9,10:39:15,10:49:51,MANUAL_EXIT,0.48063,-8.02503,0.00143,2.54065,43.66256399586277,2026-07-21 10:49:51
EXIT,DALBHARAT,DALBHARAT-Jul2026-1860-CE,CE,1860.0,2026-07-28,7,1,325,37.15,37.25,27.86,36.8,-113.75,-0.9,10:39:16,10:51:36,MANUAL_EXIT,0.49647,-2.85262,0.0041,1.05463,36.79177538144754,2026-07-21 10:51:36
ENTRY,BEL,BEL-Jul2026-405-CE,CE,405.0,2026-07-28,7,1,1425,8.5,8.5,6.38,,,,10:53:05,,,0.56844,-0.53279,0.02206,0.22804,30.708614830517178,2026-07-21 10:53:17
ENTRY,AMBER,AMBER-Jul2026-7700-CE,CE,7700.0,2026-07-28,7,1,100,170.05,170.05,127.54,,,,10:53:04,,,0.5483,-11.23673,0.00104,4.36031,34.46669933455712,2026-07-21 10:53:20
ENTRY,AMBUJACEM,AMBUJACEM-Jul2026-445-CE,CE,445.0,2026-07-28,7,1,1200,8.5,8.5,6.38,,,,10:53:06,,,0.49997,-0.64901,0.01816,0.25232,34.74143985607215,2026-07-21 10:53:28
EXIT,BEL,BEL-Jul2026-405-CE,CE,405.0,2026-07-28,7,1,1425,8.5,8.85,6.38,8.85,498.75,4.1,10:53:05,10:58:43,SYSTEM_EXIT,0.56844,-0.53279,0.02206,0.22804,30.708614830517178,2026-07-21 10:58:43
ENTRY,UNIONBANK,UNIONBANK-Jul2026-177.5-CE,CE,177.5,2026-07-28,7,1,4425,3.25,3.25,2.44,,,,10:54:03,,,0.52573,-0.2322,0.05148,0.10072,30.567123415170506,2026-07-21 10:58:54
EXIT,AMBER,AMBER-Jul2026-7700-CE,CE,7700.0,2026-07-28,7,1,100,170.05,174.75,127.54,171.0,95.0,0.6,10:53:04,11:00:19,SYSTEM_EXIT,0.5483,-11.23673,0.00104,4.36031,34.46669933455712,2026-07-21 11:00:19
ENTRY,ABCAPITAL,ABCAPITAL-Jul2026-410-CE,CE,410.0,2026-07-28,7,1,3100,6.1,6.1,4.57,,,,12:05:02,,,0.49008,-0.49051,0.02467,0.2315,27.85210332525819,2026-07-21 12:05:04
ENTRY,AMBUJACEM,AMBUJACEM-Jul2026-445-CE,CE,445.0,2026-07-28,7,1,1200,8.85,8.85,6.64,,,,12:05:08,,,0.50734,-0.66454,0.01783,0.25166,35.459687652908585,2026-07-21 12:05:10
ENTRY,BAJAJFINSV,BAJAJFINSV-Jul2026-1880-CE,CE,1880.0,2026-07-28,7,1,300,25.55,25.55,19.16,,,,12:06:33,,,0.5468,-1.79562,0.007,1.05955,21.15572510062523,2026-07-21 12:07:20
