SecurityID,Symbol,CompanyName,Sector,Industry,BasicIndustry,MarketCap,PreviousClose,FNO
2859,RAYMOND,Raymond,,,,,,
28714,TRANSRAILL,Transrail Lighting,,,,,,
28764,CEWATER,Concord Enviro Systems,,,,,,
2885,RELIANCE,Reliance Industries,OIL & GAS,REFINING & PETROCHEMICALS (DIVERSIFIED),,,,
28879,CARRARO,Carraro,,,,,,
28906,MAYURUNIQ,Mayur Uniquoters,,,,,,
28960,UNIMECH,Unimech Aerospace and Manufacturing,,,,,,
29075,SETL,Standard Engineering Technology,,,,,,
29087,QUADFUTURE,Quadrant Future Tek,,,,,,
29135,INDUSTOWER,Indus Towers,TELECOM,TELECOM INFRASTRUCTURE / TOWERS,,,,
29256,DENTA,Denta Water and Infra Solutions,,,,,,
29459,MOSCHIP,Moschip Technologies,,,,,,
29472,PROTEAN,Protean e-Gov Technologies,,,,,,
2955,KALYANKJIL,Kalyan Jewellers,CONSUMER DURABLES,JEWELLERY,,,,
29666,HEXT,Hexaware Technologies,IT,IT SERVICES,,,,
2987,NAZARA,Nazara Technologies,MEDIA & ENTERTAINMENT,GAMING,,,,
29962,JUSTDIAL,Just Dial,,,,,,
30023,ATULAUTO,Atul Auto,,,,,,
3024,JINDALSAW,Jindal SAW,,,,,,
3045,SBIN,State Bank of India,BANKING,PSU BANK,,,,
3048,SCI,Shipping Corporation of India,,,,,,
3063,VEDL,Vedanta,METAL,DIVERSIFIED METALS & MINING,,,,
30893,CMRGREEN,CMR Green Technologies,,,,,,
31163,RHIM,RHI Magnesita,,,,,,
31181,MCX,MCX,FINANCIAL SERVICES,CAPITAL MARKETS / EXCHANGE,,,,
312,TIINDIA,Tube Investment,AUTO,AUTO ANCILLARIES,,,,
31234,SCHNEIDER,Schneider Electric Infra,,,,,,
3149,BORORENEW,Borosil Renewables,,,,,,
3150,SIEMENS,Siemens,,,,,,
317,BAJFINANCE,Bajaj Finance,FINANCIAL SERVICES,NBFC,,,,
3220,LODHA,Lodha Developers,REALTY,REAL ESTATE,,,,
324,ANGELONE,Angel One,FINANCIAL SERVICES,CAPITAL MARKETS - BROKING,,,,
3273,SRF,SRF,CHEMICALS,SPECIALTY CHEMICALS / FLUOROCHEMICALS,,,,
3275,TEMBO,Tembo Global Industries,,,,,,
3324,SUBROS,Subros,,,,,,
3345,SUNDRMFAST,Sundram Fasteners,,,,,,
3351,SUNPHARMA,Sun Pharmaceutical,PHARMA,PHARMACEUTICALS,,,,
3363,SUPREMEIND,Supreme Industries,,,,,,
3375,SURYAROSNI,Surya Roshni,,,,,,
3405,TATACHEM,Tata Chemicals,CHEMICALS,CHEMICALS / SODA ASH,,,,
341,BALRAMCHIN,Balrampur Chini Mills,,,,,,
3411,TATAELXSI,Tata Elxsi,IT,IT SERVICES - DESIGN/ENGINEERING,,,,
342,CAMS,CAMS,FINANCIAL SERVICES,CAPITAL MARKETS - RTA SERVICES,,,,
3426,TATAPOWER,Tata Power,,,,,,
3432,TATACONSUM,Tata Consumer Products,FMCG,PACKAGED FOODS / BEVERAGES,,,,
3435,BBOX,Black Box,,,,,,
3456,TMPV,Tata Motors Passenger Vehicles,AUTO,PASSENGER VEHICLES,,,,
3475,THERMAX,Thermax,,,,,,
3506,TITAN,Titan,CONSUMER DURABLES,WATCHES / JEWELLERY,,,,
3518,TORNTPHARM,Torrent Pharmaceuticals,PHARMA,PHARMACEUTICALS,,,,
3546,TTKPRESTIG,TTK Prestige,,,,,,
3563,ADANIGREEN,Adani Green Energy,,,,,,
357,NAM-INDIA,Nippon Life India AMC,,,,,,
3607,UNIVCABLES,Universal Cables,,,,,,
3637,JUBLPHARMA,Jubilant Pharmova,PHARMA,PHARMACEUTICALS / CDMO,,,,
3672,SOLARA,Solara Active Pharma Sciences,,,,,,
3703,VIPIND,VIP Industries,,,,,,
371,BATAINDIA,Bata,CONSUMER DURABLES,FOOTWEAR,,,,
3718,VOLTAS,Voltas,CONSUMER DURABLES,AIR CONDITIONING / COOLING,,,,
3721,TATACOMM,Tata Communications,TELECOM,TELECOM SERVICES,,,,
3724,VSTIND,VST Industries,,,,,,
3736,WALCHANNAG,Walchandnagar Industries,,,,,,
3761,RITES,RITES,,,,,,
3766,WHEELS,Wheels,,,,,,
3799,WSTCSTPAPR,West Coast Paper Mills,,,,,,
